Accession Number	Old Classification Number	Title Stroke	Title	Author Stroke	Author	Publisher	Publication Date	Original Title	Summary	Edition	Series	Publication Place	Pages or Duration	Notes	ISBN	Cost	Last Changed	Editor	Verified	Volume	Author Number	Classification Number	Book Type	Format	Media	Translator	Usage	Cataloged Date	Charge	Language
8637		9	宣 道 一  (1996 培 靈 會 )	4	王 永 信	OCCA	2001					美 國 加 州	0			0			FALSE		WAN	245			AC		0		0	國 語
8638		9	宣 道 一  (1996 培 靈 會 )		王 永 信	OCCA	2001					美 國 加 州	0			0			FALSE		WAN	245			AC		0		0	國 語
8639		9	宣 道 二  (1996 培 靈 會 )	4	王 永 信	OCCA	2001					美 國 加 州	0			0			FALSE		WAN	245			AC		0		0	國 語
8640		10	差 我  (1996 培 靈 會 )	4	王 永 信	OCCA	2001					美 國 加 州	0			0			FALSE		WAN	245			AC		0		0	國 語
8641		10	2000年全球電腦大爆炸( 一 )	13	楊 摩 西	國 際 福 音 佈 道 神 學 院	2001					美 國 新  州	0			0			FALSE		WAN	245			AC		1		0	國 語
8642		10	2000年全球電腦大爆炸( 二  )	13	楊 摩 西	國 際 福 音 佈 道 神 學 院	2001					美 國 新  州	0			0			FALSE		WAN	245			AC		0		0	國 語
8643		10	2000年全球電腦大爆炸( 三   )	13	楊 摩 西	國 際 福 音 佈 道 神 學 院	2001					美 國 新  州	0			0			FALSE		WAN	245			AC		0		0	國 語
8644		10	2000年全球電腦大爆炸( 四 )	13	楊 摩 西	國 際 福 音 佈 道 神 學 院	2000					美 國 新  州	0			0			FALSE		YAN	236			AC		0		0	國 語
8645		9	美 好 世 界	11	教會	兒童詩歌視聽	1995				慶祝主日學在台百周年記念	臺北	0			0			FALSE		CHI	257			AC		3		0	國 語
8646		4	天 路 人 生 之 謎	12	焦 源 濂	Gospel tape ministry	1996					mayriland	0			0			FALSE		CHI	243			AC		4		0	國 語
8647		13	聖 城	16	賴 鴻 毅	賴 牧 師 聖 樂 工 作 室	2002					臺 灣 高 雄	0			0			FALSE		LAI	257			CD		0		0	台 語
8648		8	奇 妙 的 揀 選	16	賴 鴻 毅	賴 牧 師 聖 樂 工 作 室	2002					臺 灣 高 雄	0			0			FALSE		LAI	257			CD		1		0	台 語
8649		5	主 禱 文	16	賴 鴻 毅	賴 牧 師 聖 樂 工 作 室	2002					臺 灣 高 雄	0			0			FALSE		LAI	257			CD		4		0	台 語
8650			報 好 消 息	16	賴 鴻 毅	賴 牧 師 聖 樂 工 作 室	2002					臺 灣 高 雄	0			0			FALSE		LAI	257			CD		2		0	台 語
8651			報 好 消 息 ( 演 奏 版 )	16	賴 鴻 毅	賴 牧 師 聖 樂 工 作 室	2002					臺 灣 高 雄	0			0			FALSE		LAI	257			CD		0		0	台 語
8652		13	聖詠 (十 字 架 的 榮 耀 )	16	賴 鴻 毅	賴 牧 師 聖 樂 工 作 室	2002					臺 灣 高 雄	0			0			FALSE		LAI	257			CD		0		0	台 語
8653		13	聖詠-十字架的榮耀(演奏版 )	16	賴 鴻 毅	賴 牧 師 聖 樂 工 作 室	2002					臺 灣 高 雄	0			0			FALSE		LAI	257			CD		0		0	台 語
8654		12	無 通 嫌 臺 灣	16	賴 鴻 毅	賴 牧 師 聖 樂 工 作 室	2002					臺 灣 高 雄	0			0			FALSE		LAI	257			CD		0		0	台 語
8655		12	無 通 嫌 臺 灣 ( 演 奏 曲 )	16	賴 鴻 毅	賴 牧 師 聖 樂 工 作 室	2002					臺 灣 高 雄	0			0			FALSE		LAI	257			CD		0		0	台 語
8656		13	聖詠 (內 心 的 光) 演奏曲	16	賴 鴻 毅	賴 牧 師 聖 樂 工 作 室	2002					臺 灣 高 雄	0			0			FALSE		LAI	257			CD		0		0	台 語
8657		7	李 拐 的 故 事	16	賴 鴻 毅	賴 牧 師 聖 樂 工 作 室	2002					臺 灣 高 雄	0			0			FALSE		LAI	257			VD		0		0	台 語
8658		13	聖詠 (內 心 的 光) 獨 唱 專 輯	16	賴 鴻 毅	賴 牧 師 聖 樂 工 作 室	2002					臺 灣 高 雄	0			0			FALSE		LAI	257			CD		2		0	國 語
8659			儆 醒 剛 強	15	滕 近 輝	靈 命 進 深	2002					NEW YORK	0			0			FALSE		THE	248.2					1		0	國 語
8660			儆 醒 剛 強	15	滕 近 輝	靈 命 進 深	2002					NEW YORK	0			0			FALSE		THE	248.2					0		0	國 語
8662		14	認識生命倫理學	0	"ORR, rOBERT D."	校園	1997	Life and death decisions				臺北	208			0			FALSE		OR	248					1		0	國 語
8663		10	真愛傳家寶	15	劉黃懷甯	飛鷹	2003					賓州	231			11			FALSE		LIU	249					3		0	國 語
8664		13	傷癒	0	"SEAMANDS,DAVID A."	中國學傳	2003					臺北	169			10.5			FALSE		SEA	248					5		0	國 語
8665		10	走窄路	3	大衛	基道	1999					香港	96			6.4			FALSE		DAV	267					2		0	國 語
8666		20	饒恕	20	syoop 7 masteller	校園	1998					台北	300			0			FALSE		STO	248					3		0	國 語
8667			全面認識聖靈	8	吳恩溥	校園	1993					台北	170			0			FALSE		WU	237					3		0	國 語
8668		10	真愛傳家寶	15	劉黃懷甯	飛鷹	2003					賓州	231			12			FALSE		LIU	249.14					0		0	國 語
8669		9	美麗一身	6	艾玫絲	校園	1997	BEAUTY AND THE BEST				台北	240			0			FALSE		EVA	249..122					1		0	國 語
8670		4	心的呼喚	9	范學德	校園	2001					臺北	180			8.5			FALSE		FAN	246					5		0	國 語
8671		5	永恒在我心	0	"RICHARDSON,DOM"	基教橄欖	1998					臺北	226			11.5			FALSE		RIC	267.2					1		0	國 語
8672			運轉中年	0	"NICHOLS, MICHAEL P,"	台基	1992	TURNING FORTY IN THE EIGHTIES				臺北	196			8			FALSE		NIC	249					6		0	國 語
8673		6	用祝福來著色	0	John Trent	校園	2001	Choosing to Live the Blessing				台灣	327p.			0			FALSE		TRE	248.2					5		0	國 語
